iter	Passed	Remaining
0	0	86
1	1	79
2	2	74
3	3	72
4	3	69
5	4	66
6	4	65
7	5	63
8	6	60
9	6	59
10	7	58
11	7	57
12	8	56
13	9	55
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	51
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	36
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	33	28
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	51	11
81	51	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
