# Ncluster= 13 
# weights= 1,1,1,1,1,1,1,1,1,1,1 
# varnames= Rrs_400,Rrs_412,Rrs_443,Rrs_490,Rrs_510,Rrs_560,Rrs_620,Rrs_665,Rrs_755,Rrs_778,Rrs_865 
# scaled= TRUE 
# addLog= 1 
# log.transform= TRUE
"ID"	"ClassNo"
1	12
2	11
3	10
4	11
5	10
6	13
7	11
8	11
9	12
10	12
11	11
12	11
13	11
14	10
15	12
16	11
17	12
18	13
19	13
20	10
21	10
22	10
23	11
24	12
25	13
26	10
27	13
28	10
29	10
30	11
31	11
32	13
33	11
34	12
35	10
36	10
37	11
38	11
39	10
40	13
41	10
42	11
43	10
44	11
45	11
46	12
47	13
48	10
49	11
50	11
51	12
52	10
53	10
54	12
55	10
56	10
57	10
58	13
59	10
60	13
61	12
62	11
63	13
64	13
65	10
66	11
67	13
68	11
69	13
70	11
71	11
72	10
73	13
74	11
75	10
76	13
77	11
78	11
79	11
80	13
81	12
82	10
83	10
84	10
85	13
86	13
87	12
88	10
89	11
90	10
91	13
92	10
93	11
94	10
95	11
96	13
97	12
98	11
99	11
100	11
101	10
102	11
103	11
104	12
105	11
106	12
107	13
108	11
109	11
110	11
111	12
112	12
113	12
114	11
115	11
116	10
117	11
118	11
119	10
120	13
121	12
122	11
123	11
124	10
125	11
126	11
127	10
128	11
129	12
130	11
131	11
132	11
133	10
134	11
135	13
136	13
137	11
138	10
139	11
140	10
141	13
142	10
143	12
144	11
145	11
146	11
147	11
148	12
149	11
150	10
151	10
152	13
153	12
154	11
155	11
156	11
157	12
158	10
159	11
160	12
161	13
162	10
163	10
164	13
165	11
166	12
167	12
168	13
169	10
170	13
171	10
172	11
173	10
174	12
175	11
176	11
177	12
178	10
179	10
180	13
181	10
182	11
183	10
184	13
185	12
186	13
187	13
188	10
189	13
190	13
191	11
192	13
193	11
194	12
195	10
196	10
197	11
198	12
199	13
200	11
201	11
202	13
203	11
204	11
205	12
206	10
207	11
208	10
209	10
210	10
211	10
212	11
213	11
214	11
215	10
216	11
217	11
218	11
219	11
220	11
221	12
222	13
223	13
224	13
225	12
226	13
227	11
228	11
229	11
230	13
231	10
232	10
233	11
234	10
235	12
236	10
237	10
238	13
239	12
240	11
241	11
242	10
243	12
244	10
245	13
246	11
247	10
248	12
249	10
250	11
251	11
252	10
253	10
254	10
255	13
256	13
257	13
258	10
259	10
260	10
261	11
262	10
263	12
264	10
265	11
266	10
267	10
268	11
269	11
270	11
271	11
272	12
273	10
274	13
275	10
276	11
277	11
278	11
279	10
280	11
281	10
282	10
283	10
284	12
285	12
286	11
287	13
288	10
289	12
290	11
291	10
292	11
293	11
294	13
295	11
296	10
297	13
298	12
299	13
300	10
301	12
302	12
303	10
304	11
305	12
306	11
307	10
308	10
309	10
310	10
311	11
312	11
313	10
314	10
315	13
316	12
317	13
318	10
319	10
320	13
321	13
322	10
323	11
324	13
325	10
326	13
327	11
328	13
329	13
330	11
331	11
332	10
333	11
334	13
335	11
336	12
337	10
338	10
339	10
340	10
341	13
342	12
343	12
344	11
345	10
346	10
347	13
348	13
349	13
350	11
351	10
352	10
353	10
354	10
355	11
356	13
357	11
358	11
359	12
360	12
361	13
362	11
363	11
364	10
365	10
366	10
367	11
368	11
