lambda	absorbtion
400	5.80E-05
401	5.85E-05
402	5.90E-05
403	5.99E-05
404	6.10E-05
405	6.20E-05
406	6.30E-05
407	6.40E-05
408	6.50E-05
409	6.60E-05
410	6.70E-05
411	6.79E-05
412	6.90E-05
413	7.05E-05
414	7.20E-05
415	7.31E-05
416	7.40E-05
417	7.49E-05
418	7.60E-05
419	7.74E-05
420	7.90E-05
421	8.06E-05
422	8.20E-05
423	8.30E-05
424	8.40E-05
425	8.55E-05
426	8.70E-05
427	8.80E-05
428	8.90E-05
429	9.05E-05
430	9.20E-05
431	9.30E-05
432	9.40E-05
433	9.55E-05
434	9.70E-05
435	9.80E-05
436	9.90E-05
437	1.01E-04
438	1.02E-04
439	1.03E-04
440	1.04E-04
441	1.05E-04
442	1.06E-04
443	1.07E-04
444	1.08E-04
445	1.09E-04
446	1.10E-04
447	1.11E-04
448	1.12E-04
449	1.13E-04
450	1.14E-04
451	1.15E-04
452	1.16E-04
453	1.17E-04
454	1.18E-04
455	1.19E-04
456	1.20E-04
457	1.21E-04
458	1.22E-04
459	1.23E-04
460	1.24E-04
461	1.25E-04
462	1.26E-04
463	1.27E-04
464	1.28E-04
465	1.29E-04
466	1.30E-04
467	1.31E-04
468	1.33E-04
469	1.34E-04
470	1.35E-04
471	1.36E-04
472	1.38E-04
473	1.40E-04
474	1.41E-04
475	1.42E-04
476	1.44E-04
477	1.46E-04
478	1.48E-04
479	1.50E-04
480	1.52E-04
481	1.54E-04
482	1.57E-04
483	1.60E-04
484	1.62E-04
485	1.64E-04
486	1.67E-04
487	1.70E-04
488	1.74E-04
489	1.78E-04
490	1.81E-04
491	1.85E-04
492	1.89E-04
493	1.93E-04
494	1.98E-04
495	2.03E-04
496	2.09E-04
497	2.16E-04
498	2.23E-04
499	2.30E-04
500	2.38E-04
501	2.46E-04
502	2.55E-04
503	2.64E-04
504	2.73E-04
505	2.82E-04
506	2.91E-04
507	3.00E-04
508	3.10E-04
509	3.19E-04
510	3.29E-04
511	3.39E-04
512	3.49E-04
513	3.59E-04
514	3.68E-04
515	3.77E-04
516	3.86E-04
517	3.96E-04
518	4.04E-04
519	4.07E-04
520	4.09E-04
521	4.14E-04
522	4.16E-04
523	4.11E-04
524	4.09E-04
525	4.18E-04
526	4.27E-04
527	4.27E-04
528	4.23E-04
529	4.24E-04
530	4.29E-04
531	4.37E-04
532	4.45E-04
533	4.51E-04
534	4.56E-04
535	4.63E-04
536	4.70E-04
537	4.75E-04
538	4.80E-04
539	4.88E-04
540	4.95E-04
541	4.98E-04
542	5.03E-04
543	5.14E-04
544	5.27E-04
545	5.36E-04
546	5.44E-04
547	5.53E-04
548	5.64E-04
549	5.76E-04
550	5.88E-04
551	6.00E-04
552	6.11E-04
553	6.21E-04
554	6.31E-04
555	6.39E-04
556	6.46E-04
557	6.52E-04
558	6.58E-04
559	6.65E-04
560	6.72E-04
561	6.79E-04
562	6.86E-04
563	6.92E-04
564	6.99E-04
565	7.08E-04
566	7.18E-04
567	7.26E-04
568	7.34E-04
569	7.45E-04
570	7.59E-04
571	7.73E-04
572	7.87E-04
573	8.02E-04
574	8.19E-04
575	8.39E-04
576	8.58E-04
577	8.75E-04
578	8.96E-04
579	9.24E-04
580	9.52E-04
581	9.74E-04
582	1.00E-03
583	1.04E-03
584	1.08E-03
585	1.12E-03
586	1.16E-03
587	1.20E-03
588	1.25E-03
589	1.30E-03
590	1.36E-03
591	1.41E-03
592	1.46E-03
593	1.51E-03
594	1.57E-03
595	1.63E-03
596	1.70E-03
597	1.76E-03
598	1.86E-03
599	2.04E-03
600	2.22E-03
601	2.32E-03
602	2.37E-03
603	2.40E-03
604	2.45E-03
605	2.52E-03
606	2.59E-03
607	2.63E-03
608	2.65E-03
609	2.67E-03
610	2.69E-03
611	2.70E-03
612	2.71E-03
613	2.73E-03
614	2.74E-03
615	2.75E-03
616	2.76E-03
617	2.78E-03
618	2.79E-03
619	2.80E-03
620	2.81E-03
621	2.82E-03
622	2.84E-03
623	2.85E-03
624	2.87E-03
625	2.88E-03
626	2.89E-03
627	2.91E-03
628	2.92E-03
629	2.94E-03
630	2.96E-03
631	2.97E-03
632	2.99E-03
633	3.00E-03
634	3.01E-03
635	3.02E-03
636	3.04E-03
637	3.06E-03
638	3.08E-03
639	3.09E-03
640	3.11E-03
641	3.13E-03
642	3.14E-03
643	3.16E-03
644	3.18E-03
645	3.20E-03
646	3.22E-03
647	3.24E-03
648	3.26E-03
649	3.29E-03
650	3.31E-03
651	3.34E-03
652	3.36E-03
653	3.39E-03
654	3.42E-03
655	3.46E-03
656	3.51E-03
657	3.57E-03
658	3.64E-03
659	3.71E-03
