wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
350	0.011774652	0.015926086	0.009567886	0.011600074	0.008133525	0.007099157	0.010396603	0.011119315	0.009398907
351	0.011696808	0.015950218	0.009509898	0.011625892	0.008135769	0.00714025	0.010347878	0.011086146	0.009358254
352	0.011626209	0.015969131	0.009455907	0.011644138	0.008137796	0.007174276	0.010304755	0.011053672	0.009321543
353	0.011562855	0.015982825	0.009405915	0.011654814	0.008139605	0.007201236	0.010267233	0.011021895	0.009288774
354	0.011506746	0.015991299	0.00935992	0.011657919	0.008141197	0.00722113	0.010235313	0.010990813	0.009259947
355	0.011457881	0.015994554	0.009317923	0.011653453	0.00814257	0.007233958	0.010208994	0.010960428	0.009235062
356	0.01141626	0.01599259	0.009279923	0.011641416	0.008143726	0.00723972	0.010188276	0.010930739	0.009214118
357	0.01137687	0.015993297	0.009261463	0.011608388	0.008170706	0.007228058	0.010182108	0.010900642	0.009182683
358	0.011372489	0.015973252	0.009223806	0.01156819	0.008181147	0.007223268	0.010169078	0.010867586	0.009184033
359	0.011368545	0.015943481	0.009179316	0.011522287	0.008174102	0.007223197	0.010142514	0.010819375	0.009207442
360	0.011346745	0.01589974	0.009162728	0.011476552	0.008168884	0.007197989	0.0101231	0.010791864	0.009210728
361	0.011338128	0.015850892	0.009141652	0.011445883	0.008124367	0.007158098	0.010132071	0.010791379	0.00918998
362	0.01132123	0.015807937	0.00913061	0.011428381	0.008068567	0.007126161	0.010143596	0.01078531	0.009162321
363	0.011312273	0.015752586	0.00914598	0.011414211	0.008034928	0.007107134	0.0101262	0.01076608	0.009124924
364	0.011339111	0.015690392	0.00916011	0.01140074	0.008019154	0.007095352	0.010112958	0.010752754	0.00906246
365	0.011349214	0.015647218	0.009163797	0.011393083	0.008012712	0.007093783	0.010096286	0.010735739	0.00900376
366	0.01132399	0.015623388	0.009163553	0.011395241	0.00801201	0.007101154	0.010073119	0.010707965	0.008962814
367	0.011286693	0.015610413	0.009184556	0.01139858	0.008025735	0.00711331	0.010063579	0.010684235	0.008943219
368	0.011226944	0.015625805	0.009203023	0.011404911	0.008057082	0.007116384	0.010065852	0.010675608	0.008946275
369	0.0111784	0.015651269	0.009204004	0.011418921	0.008086689	0.007114682	0.010069645	0.010675954	0.00895203
370	0.011162412	0.015661612	0.009184768	0.011427098	0.008103834	0.007119558	0.010064473	0.010684245	0.008976498
371	0.011146226	0.015649927	0.009168758	0.011431428	0.0081148	0.007119719	0.010063311	0.010689641	0.009025235
372	0.01111669	0.015612456	0.009161363	0.011429797	0.008110014	0.007107256	0.010064786	0.010678733	0.009064017
373	0.011093424	0.015557496	0.009145094	0.01142341	0.008084681	0.007075065	0.010070001	0.010663933	0.009080464
374	0.011067545	0.01551691	0.009112164	0.011414445	0.008056573	0.007031328	0.010073197	0.010639837	0.009088847
375	0.011052878	0.015502641	0.009095951	0.011410215	0.008029595	0.006993327	0.010069789	0.010611652	0.009082221
376	0.011050382	0.015477363	0.00909222	0.011409628	0.008004163	0.006960909	0.010069392	0.010595933	0.009056483
377	0.011026675	0.015429976	0.009092971	0.011412215	0.007983575	0.006935097	0.010084756	0.010588461	0.009028277
378	0.011010435	0.015397686	0.009106161	0.011427455	0.00796911	0.006920797	0.010097776	0.010575739	0.008991393
