# Wavelength_nm	Reflectance
4.230000000000000000e+02	1.603636904876621846e-02
4.290000000000000000e+02	1.600390188845167427e-02
4.340000000000000000e+02	1.598525851938106812e-02
4.400000000000000000e+02	1.597097239811485353e-02
4.450000000000000000e+02	1.595830401856206116e-02
4.500000000000000000e+02	1.596190496316164317e-02
4.550000000000000000e+02	1.599390347113103378e-02
4.600000000000000000e+02	1.604392155713273843e-02
4.640000000000000000e+02	1.608311985242718081e-02
4.690000000000000000e+02	1.612966012593663317e-02
4.740000000000000000e+02	1.616474001776439795e-02
4.790000000000000000e+02	1.620361549764065545e-02
4.840000000000000000e+02	1.628700676035246472e-02
4.880000000000000000e+02	1.643466507446226035e-02
4.930000000000000000e+02	1.680651868969950877e-02
4.980000000000000000e+02	1.752575711508373019e-02
5.030000000000000000e+02	1.883172722927494228e-02
5.080000000000000000e+02	2.103523320085857323e-02
5.130000000000000000e+02	2.444887070253747366e-02
5.180000000000000000e+02	2.911035411018155286e-02
5.230000000000000000e+02	3.438338559649587595e-02
5.280000000000000000e+02	3.907926429893735648e-02
5.330000000000000000e+02	4.233257686483593574e-02
5.380000000000000000e+02	4.413466730649578951e-02
5.430000000000000000e+02	4.507785154805014904e-02
5.480000000000000000e+02	4.579692579374886746e-02
5.530000000000000000e+02	4.620595812101605665e-02
5.590000000000000000e+02	4.545470779990622850e-02
5.640000000000000000e+02	4.356601025661406557e-02
5.690000000000000000e+02	4.073564461279876453e-02
5.750000000000000000e+02	3.704306429971804260e-02
5.800000000000000000e+02	3.456574924069099469e-02
5.860000000000000000e+02	3.244378830275236603e-02
5.920000000000000000e+02	3.107660842057639525e-02
5.970000000000000000e+02	3.034159456177066422e-02
6.030000000000000000e+02	2.938435843575905315e-02
6.090000000000000000e+02	2.783028578202909054e-02
6.150000000000000000e+02	2.595890349338611167e-02
6.210000000000000000e+02	2.449046638658891259e-02
6.270000000000000000e+02	2.375113873702193804e-02
6.330000000000000000e+02	2.316854827048530491e-02
6.390000000000000000e+02	2.178892489052514092e-02
6.450000000000000000e+02	1.983820495623670604e-02
6.520000000000000000e+02	1.813003231947291766e-02
6.580000000000000000e+02	1.702521358548045663e-02
6.650000000000000000e+02	1.574075637861031482e-02
6.710000000000000000e+02	1.515068369491805872e-02
6.780000000000000000e+02	1.509753933212639766e-02
6.850000000000000000e+02	1.687529387154828101e-02
6.910000000000000000e+02	2.434157697892183961e-02
6.980000000000000000e+02	4.677888104385333895e-02
7.050000000000000000e+02	8.196292288632031631e-02
7.120000000000000000e+02	1.231603376890231111e-01
7.190000000000000000e+02	1.690810429354090705e-01
7.260000000000000000e+02	2.180437825640347549e-01
7.330000000000000000e+02	2.644185033157443465e-01
7.400000000000000000e+02	3.016993587701000679e-01
7.480000000000000000e+02	3.295637518850626502e-01
7.550000000000000000e+02	3.452104276329414079e-01
7.620000000000000000e+02	3.584236064561172053e-01
7.700000000000000000e+02	3.704910169459302849e-01
7.770000000000000000e+02	3.769678946681418452e-01
7.850000000000000000e+02	3.799231710615624258e-01
7.930000000000000000e+02	3.814989856020712389e-01
8.000000000000000000e+02	3.827181588515251032e-01
8.080000000000000000e+02	3.839886278650712081e-01
8.160000000000000000e+02	3.849625894986697383e-01
8.230000000000000000e+02	3.855229637582259783e-01
8.310000000000000000e+02	3.856435499331372641e-01
8.390000000000000000e+02	3.857851207701558094e-01
8.470000000000000000e+02	3.862879197099136075e-01
8.550000000000000000e+02	3.867531244595102113e-01
8.630000000000000000e+02	3.870428240273186549e-01
8.710000000000000000e+02	3.872628673182710313e-01
8.790000000000000000e+02	3.872807289907824191e-01
8.870000000000000000e+02	3.872158989629739256e-01
8.950000000000000000e+02	3.870618672791434900e-01
9.030000000000000000e+02	3.867337845793085149e-01
9.110000000000000000e+02	3.861947376744311322e-01
9.200000000000000000e+02	3.849202143984450375e-01
9.280000000000000000e+02	3.824412963779388330e-01
9.360000000000000000e+02	3.781431571257066193e-01
9.440000000000000000e+02	3.713036006967702085e-01
