# Wavelength_nm	Reflectance
4.422500000000000000e+02	2.088736444524260868e-02
4.922200000000000273e+02	2.636278147609289260e-02
5.603099999999999454e+02	5.323434543054446355e-02
6.630900000000000318e+02	1.954289297078765780e-02
7.039600000000000364e+02	8.079307139017692652e-02
7.423799999999999955e+02	3.830750696600629945e-01
7.817200000000000273e+02	4.549794393149534377e-01
8.333300000000000409e+02	4.545754970973236442e-01
8.658200000000000500e+02	4.537286900868340300e-01
9.422500000000000000e+02	4.416365418611238880e-01
1.373670000000000073e+03	0.000000000000000000e+00
1.609430000000000064e+03	1.529772669669617058e-01
2.193889999999999873e+03	4.520438744574666046e-02
