wavelength,fwhm
402.0,2.4
404.2,3.6
406.8,3.8
409.3,3.8
411.8,3.6
414.3,3.8
416.9,3.4
419.4,3.4
422.0,3.6
424.6,3.6
427.3,3.4
429.8,3.4
432.4,3.2
434.9,3.2
437.5,3.0
439.9,3.2
442.5,3.4
445.1,3.2
447.8,3.4
450.3,3.4
452.9,3.4
455.6,3.6
458.2,3.4
460.7,3.4
463.3,3.2
465.8,3.2
468.3,3.4
470.7,3.2
473.4,3.2
475.9,3.4
478.5,3.4
481.3,3.4
483.8,3.2
486.4,3.2
489.0,3.2
491.6,3.2
494.0,3.2
496.5,3.2
499.2,3.4
501.8,3.4
504.3,3.4
506.9,3.6
509.5,3.6
512.2,3.4
514.7,3.4
517.2,3.4
519.6,3.4
522.2,3.4
524.7,3.4
527.3,3.6
529.7,3.4
532.3,3.4
534.9,3.6
537.5,3.6
540.2,3.4
542.7,3.4
545.2,3.6
547.7,3.6
550.3,3.6
552.9,3.4
555.5,3.4
558.1,3.4
560.6,3.6
563.2,3.6
565.8,3.6
568.4,3.6
571.0,3.6
573.5,3.6
576.1,3.4
578.6,3.4
581.1,3.4
583.7,3.4
586.3,3.6
588.8,3.6
591.3,3.6
594.0,3.6
596.6,3.6
599.1,3.4
601.6,3.6
604.2,3.6
606.8,3.4
609.2,3.4
611.8,3.6
614.3,3.4
616.9,3.4
619.5,3.4
622.1,3.4
624.7,3.4
627.2,3.4
629.7,3.4
632.2,3.2
634.7,3.4
637.2,3.4
639.8,3.4
642.3,3.4
644.9,3.6
647.5,3.6
650.0,3.4
652.6,3.6
655.2,3.4
657.7,3.4
660.2,3.4
662.8,3.4
665.3,3.4
667.9,3.4
670.5,3.4
673.1,3.6
675.8,3.6
678.4,3.4
680.9,3.4
683.5,3.4
685.9,3.4
688.4,3.2
690.9,3.4
693.5,3.4
696.2,3.4
698.8,3.6
701.5,3.6
703.9,3.8
706.7,3.6
709.4,3.6
711.8,4.0
714.0,4.0
716.4,3.8
718.9,3.4
721.6,3.4
724.2,3.6
726.9,3.4
729.4,3.4
732.1,3.2
734.4,3.2
736.9,3.4
739.5,3.4
742.0,3.2
744.5,3.4
747.2,3.4
749.7,3.4
752.3,3.4
755.2,3.6
757.7,3.4
760.3,3.4
763.0,3.6
765.0,3.0
767.5,3.4
770.3,3.4
772.7,3.4
775.4,3.4
778.0,3.6
780.5,3.2
783.0,3.4
785.6,3.2
788.2,3.4
790.6,3.2
793.1,3.4
795.9,3.4
798.4,3.4
801.2,3.2
804.0,3.0
806.7,3.0
809.1,3.0
811.7,3.0
814.3,3.0
816.9,3.2
819.8,3.6
822.8,3.2
824.2,3.0
827.2,3.6
829.2,2.8
832.2,3.6
834.9,2.6
836.7,3.0
840.1,3.4
842.0,2.8
844.7,3.4
847.7,3.4
850.0,3.0
852.4,3.2
855.4,3.2
857.9,3.2
860.3,3.0
862.9,3.4
865.4,3.2
868.0,3.4
870.6,3.4
873.2,3.4
875.8,3.6
878.8,4.0
881.5,3.0
883.1,3.0
885.3,3.4
888.1,3.6
890.9,3.6
894.1,3.6
896.0,3.2
898.3,3.2
901.2,3.6
903.7,3.6
906.0,3.0
908.7,4.0
911.6,4.0
914.8,3.8
916.6,3.0
918.4,3.6
921.0,4.0
923.9,3.6
927.1,3.4
929.6,3.4
931.9,3.2
934.5,3.8
937.3,3.4
939.4,3.2
942.0,3.8
944.7,3.6
947.3,3.6
949.6,3.6
951.9,3.0
954.2,3.6
957.3,3.4
959.6,3.4
962.3,3.4
965.5,3.6
968.1,3.8
970.4,3.6
972.9,3.4
976.0,4.8
978.7,3.6
980.0,2.8
981.9,4.0
984.8,6.6
988.9,4.2
991.6,3.4
993.1,3.0
995.6,3.4
997.9,3.4
999.5,3.0
